Account,Category,Amount,from_date,to_date,account_line_type
Sales,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Income
Total Trading Income,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Income
Contractors,10 Sheffield St Eltham,1500.0,2024-01-01,2024-01-31,Cost of Sales
Cost of Goods Sold,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Cost of Sales
Hire of Equipment/Tools,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Cost of Sales
License & Permits,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Superannuation,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Wages and Salaries,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Total Cost of Sales,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Income
Gross Profit,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Advertising,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Bank Fees,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Client Meetings,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Consulting & Accounting,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Depreciation,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Filing fees,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Interest Expense,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Motor Vehicle Expenses,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Office Expenses,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Protective Clothing,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Staff Amenities,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Subscriptions,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Telephone & Internet,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Total Operating Expenses,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Operating Expenses
Net Profit,10 Sheffield St Eltham,0.0,2024-01-01,2024-01-31,Other
Sales,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Income
Total Trading Income,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Income
Contractors,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Cost of Sales
Cost of Goods Sold,100 Pitt Street Eltham,506.91,2024-01-01,2024-01-31,Cost of Sales
Hire of Equipment/Tools,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Cost of Sales
License & Permits,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Superannuation,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Wages and Salaries,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Total Cost of Sales,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Income
Gross Profit,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Advertising,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Bank Fees,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Client Meetings,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Consulting & Accounting,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Depreciation,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Filing fees,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Interest Expense,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Motor Vehicle Expenses,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Office Expenses,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Protective Clothing,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Staff Amenities,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Subscriptions,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Telephone & Internet,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Total Operating Expenses,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Operating Expenses
Net Profit,100 Pitt Street Eltham,0.0,2024-01-01,2024-01-31,Other
Sales,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Income
Total Trading Income,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Income
Contractors,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Cost of Sales
Cost of Goods Sold,20 Leach Street Briar Hill,97.75,2024-01-01,2024-01-31,Cost of Sales
Hire of Equipment/Tools,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Cost of Sales
License & Permits,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Superannuation,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Wages and Salaries,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Total Cost of Sales,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Income
Gross Profit,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Advertising,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Bank Fees,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Client Meetings,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Consulting & Accounting,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Depreciation,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Filing fees,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Interest Expense,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Motor Vehicle Expenses,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Office Expenses,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Protective Clothing,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Staff Amenities,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Subscriptions,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Telephone & Internet,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Total Operating Expenses,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Operating Expenses
Net Profit,20 Leach Street Briar Hill,0.0,2024-01-01,2024-01-31,Other
Sales,23 You Yangs Rd Dromana,108.09,2024-01-01,2024-01-31,Income
Total Trading Income,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Income
Contractors,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Cost of Sales
Cost of Goods Sold,23 You Yangs Rd Dromana,1829.56,2024-01-01,2024-01-31,Cost of Sales
Hire of Equipment/Tools,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Cost of Sales
License & Permits,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Superannuation,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Wages and Salaries,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Total Cost of Sales,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Income
Gross Profit,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Advertising,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Bank Fees,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Client Meetings,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Consulting & Accounting,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Depreciation,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Filing fees,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Interest Expense,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Motor Vehicle Expenses,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Office Expenses,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Protective Clothing,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Staff Amenities,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Subscriptions,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Telephone & Internet,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Total Operating Expenses,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Operating Expenses
Net Profit,23 You Yangs Rd Dromana,0.0,2024-01-01,2024-01-31,Other
Sales,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Income
Total Trading Income,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Income
Contractors,3 Kinnear Court Montmorency,16944.46,2024-01-01,2024-01-31,Cost of Sales
Cost of Goods Sold,3 Kinnear Court Montmorency,18202.82,2024-01-01,2024-01-31,Cost of Sales
Hire of Equipment/Tools,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Cost of Sales
License & Permits,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Other
Superannuation,3 Kinnear Court Montmorency,240.35,2024-01-01,2024-01-31,Other
