quoted_date,project,estimate_stage,estimate_substage,estimate_component,resource,short_code,description,quantity,units,supplier,unit_cost,cost,markup,cost_with_markup,profit
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Pemits/Warranty,w,Building Permit ,1,Item,,"$9,000.00 ","$9,000.00 ",0.00%,"$9,000.00 ",$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Pemits/Warranty,w,Warranty Insurance ,1,Item,,"$7,500.00 ","$7,500.00 ",0.00%,"$7,500.00 ",$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Pemits/Warranty,w,Broker fee ,1,Item,,$150.00 ,$150.00 ,0.00%,$150.00 ,$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Design,d,Soil test ,0,Item,,$300.00 ,$0.00 ,0.00%,$0.00 ,$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Pemits/Warranty,w,Cross over Permit ,0,Item,,$500.00 ,$0.00 ,0.00%,$0.00 ,$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Pemits/Warranty,w,Asset protection/Bond ,0,Item,,"$2,500.00 ",$0.00 ,0.00%,$0.00 ,$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Design,d,Architect Fees,0,Item,,$600.00 ,$0.00 ,0.00%,$0.00 ,$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Overhead Costs,o,Ryan Developments overheads,2,Item,,"$15,000.00 ","$30,000.00 ",0.00%,"$30,000.00 ",$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Design,d,Engineering Fees,0,Item,,"$3,000.00 ",$0.00 ,0.00%,$0.00 ,$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Pemits/Warranty,w,"Yarra Valley Water Pic, Sewer, Water ",1,Item,,$600.00 ,$600.00 ,0.00%,$600.00 ,$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Msc. Materials,g,Hoarding Site Temp Fencing ,1,Item,,"$3,000.00 ","$3,000.00 ",0.00%,"$3,000.00 ",$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Hire Equipment,h,Temp power Pole,1,Item,,"$1,500.00 ","$1,500.00 ",0.00%,"$1,500.00 ",$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Hire Equipment,h,Site Toilet ,1,Item,,"$1,200.00 ","$1,200.00 ",0.00%,"$1,200.00 ",$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Hire Equipment,h,Scaffold,1,Item,Big Dog,"$25,000.00 ","$25,000.00 ",0.00%,"$25,000.00 ",$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Design,d,DML Land Survey (Paid by client),0,Item,,$800.00 ,$0.00 ,0.00%,$0.00 ,$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Demo/Disposal,x,Hard Rubbish,1,item,,"$11,000.00 ","$11,000.00 ",0.00%,"$11,000.00 ",$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,preliminaries,,Overhead Costs,o,Project Marketing,0,Item,,"$3,000.00 ",$0.00 ,0.00%,$0.00 ,$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,site_management,,Project Management,pm,Project Manager,32,wks,Ryan Developments,"$1,500.00 ","$48,000.00 ",0.00%,"$48,000.00 ",$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,preliminaries,site_management,,Project Management,pm,Admin,32,wks,Ryan Developments,$500.00 ,"$16,000.00 ",0.00%,"$16,000.00 ",$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,base,site_preparation,,Sub-contract,s,Excavation,1,item,Accurate Earthworks,"$50,000.00 ","$50,000.00 ",0.00%,"$50,000.00 ",$0.00 
12/11/2023,2 HAWDON ST. EAGLEMONT,base,site_preparation,,Demo/Disposal,x,Demolition,0,item,Melways Demo,"$5,000.00 ",$0.00 ,0.00%,$0.00 ,$0.00 
